,Rating,Artist,Album,Date,,,,,,,,
7193,8.1,Lupe Fiasco,The Cool,1/8/2008,,,,,,,,
7194,7,Prints,Prints,1/7/2008,,,,,,,,
7195,7,Karate,595,1/9/2008,,,,,,,,
7196,7.3,White Denim,Let's Talk About It EP,1/9/2008,,,,,,,,
7197,7,Michael Showalter,Sandwiches & Cats,1/9/2008,,,,,,,,
7198,8.2,High on Fire,Death Is This Communion,1/9/2008,,,,,,,,
7199,6,Spokane,Little Hours,1/8/2008,,,,,,,,
7200,6.3,The Black Ghosts,Anyway You Choose to Give It EP,1/10/2008,,,,,,,,
7201,7.7,Idlewild,"Scottish Fiction: The Best of Idlewild, 1997-2007",1/10/2008,,,,,,,,
7202,6.6,Various Artists,...And All the Pieces Matter: Five Years of Music From The Wire / Beyond Hamsterdam: Baltimore Tracks from The Wire,1/10/2008,,,,,,,,
7203,8.4,The Honeydrips,Here Comes the Future,1/10/2008,,,,,,,,
7204,6.4,Marla Hansen,Wedding Day EP,1/9/2008,,,,,,,,
7205,5.5,Turin Brakes,Dark on Fire,1/11/2008,,,,,,,,
7206,6.5,Pedro,"You, Me & Everyone",1/11/2008,,,,,,,,
7207,6.7,Various Artists,The Heavy Metal Box,1/11/2008,,,,,,,,
7208,8,J\xc3\xb3hann J\xc3\xb3hannsson,Englab\xc3\xb6rn,1/11/2008,,,,,,,,
7209,7.5,Carolyn Mark,Nothing Is Free,1/10/2008,,,,,,,,
7210,7.2,The Intelligence,Deuteronomy,1/14/2008,,,,,,,,
7211,7.8,Atmosphere,Strictly Leakage,1/14/2008,,,,,,,,
7212,7.3,Slow Six,Private Times in Public Places / Nor'easter,1/14/2008,,,,,,,,
7213,8,The Magnetic Fields,Distortion,1/14/2008,,,,,,,,
7214,4.5,DJ Drama,Gangsta Grillz: The Album,1/11/2008,,,,,,,,
7215,6.7,Hi-Tek,Hi-Teknology 3: Underground,1/15/2008,,,,,,,,
7216,7.6,Michael Hurley,Ancestral Swamp,1/15/2008,,,,,,,,
7217,7.2,School of Language,Sea From Shore,1/15/2008,,,,,,,,
7218,6.9,Eels,"Meet the Eels: Essential Eels Vol. I / Useless Trinkets: B-Sides, Soundtracks, Rarities and Unreleased",1/15/2008,,,,,,,,
7219,6.5,Ham1,The Captain's Table,1/14/2008,,,,,,,,
7220,6.4,Mass Shivers,Ecstatic Eyes Glow Glossy,1/16/2008,,,,,,,,
7221,7,Octoberman,Run From Safety,1/16/2008,,,,,,,,
7222,7.8,Various Artists,Four Songs by Arthur Russell,1/16/2008,,,,,,,,
7223,7.8,The Field,Sound of Light EP,1/16/2008,,,,,,,,
7224,5.7,The A-Sides,Silver Storms,1/15/2008,,,,,,,,
7225,5.8,BC Camplight,Blink of a Nihilist,1/17/2008,,,,,,,,
7226,6.2,Various Artists,"Disco Not Disco: Post Punk, Electro & Leftfield Disco Classics 1974-1986",1/17/2008,,,,,,,,
7227,8,Excepter,"Tank Tapes / ""\'Burgers"" b/w ""The Punjab""",1/17/2008,,,,,,,,
7228,7.7,Lil Wayne,The Leak EP,1/17/2008,,,,,,,,
7229,5.1,Blue States,First Steps Into...,1/16/2008,,,,,,,,
7230,7.7,Various Artists,Melodii Tuvi: Throat Songs and Folk Tunes from Tuva,1/18/2008,,,,,,,,
7231,5.9,Various Artists,"The Brit Box: U.K. Indie, Shoegaze and Brit-Pop Gems of the Last Millennium",1/18/2008,,,,,,,,
7232,7.7,Andrew Bird,Soldier On EP,1/18/2008,,,,,,,,
7233,8.5,Boscoe / The Four Mints / Johnny Lunchbreak / Propinquity,Boscoe / Gently Down Your Stream / Appetizer \xe2\x80\x93 Soup\xe2\x80\x99s On / Propinquity,1/18/2008,,,,,,,,
7234,7.1,The Cansecos,Juices!,1/17/2008,,,,,,,,
7235,7,PRE,Epic Fits,1/21/2008,,,,,,,,
7236,7.3,Double Dagger,Ragged Rubble,1/21/2008,,,,,,,,
7237,7.8,Blood on the Wall,Liferz,1/21/2008,,,,,,,,
7238,5.7,Cat Power,Jukebox,1/21/2008,,,,,,,,
7239,7,Odd Nosdam,Level Live Wires,1/18/2008,,,,,,,,
7240,8.2,Various Artists,Cadenza Contemporary 01/Classics,1/22/2008,,,,,,,,
7241,8.2,Gram Parsons,Gram Parsons Archives Volume 1: Gram Parsons with the Flying Burrito Brothers Live at the Avalon Ballroom 1969,1/22/2008,,,,,,,,
7242,8.4,Times New Viking,Rip It Off,1/22/2008,,,,,,,,
7243,7.8,Lisa Germano,Lullaby for Liquid Pig,1/22/2008,,,,,,,,
7244,4.8,Lisa Gerrard,The Best of Lisa Gerrard,1/21/2008,,,,,,,,
7245,7.5,Fatal Flying Guilloteens,Quantum Fucking,1/23/2008,,,,,,,,
7246,8.6,Various Artists,Black Mirror: Reflections in Global Music (1918-1955),1/23/2008,,,,,,,,
7247,4.8,"Hello, Blue Roses",The Portrait Is Finished and I Have Failed to Capture Your Beauty...,1/23/2008,,,,,,,,
7248,7.4,Black Mountain,In the Future,1/23/2008,,,,,,,,
7249,5.1,Manchester Orchestra,I'm Like a Virgin Losing a Child,1/22/2008,,,,,,,,
7250,6.9,Rob Sonic,Sabotage Gigante,1/24/2008,,,,,,,,
7251,7.5,Samara Lubelski,Parallel Suns,1/24/2008,,,,,,,,
7252,6.2,Buzzcocks,30,1/24/2008,,,,,,,,
7253,6.2,Love Is All,Mixed Up,1/24/2008,,,,,,,,
7254,5.8,Witchcraft,The Alchemist,1/23/2008,,,,,,,,
7255,7.8,Zs,Arms,1/25/2008,,,,,,,,
7256,8,C.C.C.C.,Early Works,1/25/2008,,,,,,,,
7257,6.4,Aloha,Light Works,1/25/2008,,,,,,,,
7258,8.2,Drive-By Truckers,Brighter Than Creation's Dark,1/25/2008,,,,,,,,
7259,6.8,Zillionaire,The Street Lights Have Been Turned Down,1/24/2008,,,,,,,,
7260,6.5,Ed Askew,Little Eyes,1/28/2008,,,,,,,,
7261,5,Robert Pollard,Superman Was a Rocker,1/28/2008,,,,,,,,
7262,7.4,Booka Shade,DJ-Kicks,1/28/2008,,,,,,,,
7263,8.8,Vampire Weekend,Vampire Weekend,1/28/2008,,,,,,,,
7264,6.8,Mother and the Addicts,Science Fiction Illustrated,1/25/2008,,,,,,,,
7265,6.7,Enter Shikari,Take to the Skies,1/29/2008,,,,,,,,
7266,8.3,Evangelicals,The Evening Descends,1/29/2008,,,,,,,,
7267,8.3,Tabu Ley Rochereau / Mbilia Bel,The Voice of Lightness / Bel Canto,1/29/2008,,,,,,,,
7268,8.5,Beck,Odelay: Deluxe Edition,1/29/2008,,,,,,,,
7269,4,G&D,The Message Uni Versa,1/28/2008,,,,,,,,
7270,7.1,Daedelus,Live at Low End Theory,1/30/2008,,,,,,,,
7271,8,Various Artists,Eccentric Soul: The Outskirts of Deep City,1/30/2008,,,,,,,,
7272,6.9,Soulwax,Most of the Remixes...,1/30/2008,,,,,,,,
7273,7.9,Xiu Xiu,Women as Lovers,1/30/2008,,,,,,,,
7274,5.5,Radar Bros.,Auditorium,1/29/2008,,,,,,,,
7275,7.2,These Are Powers,Terrific Seasons,1/31/2008,,,,,,,,
7276,7.4,Songs of Green Pheasant,Gyllyng Street,1/31/2008,,,,,,,,
7277,8.3,Bottomless Pit,Hammer of the Gods,1/31/2008,,,,,,,,
7278,5.9,Chris Walla,Field Manual,1/31/2008,,,,,,,,
7279,5.1,Midnight Juggernauts,Dystopia,1/30/2008,,,,,,,,
7280,7.4,Luke Temple,Snowbeast,2/1/2008,,,,,,,,
7281,7.6,Various Artists,Always Lift Him Up: A Tribute to Blind Alfred Reed,2/1/2008,,,,,,,,
7282,7.7,Ghislain Poirier,No Ground Under,2/1/2008,,,,,,,,
7283,7.2,Nick Cave and Warren Ellis,The Assassination of Jesse James by the Coward Robert Ford,2/1/2008,,,,,,,,
7284,5,June Panic,Songs From Purgatory: Cassette Recordings 1991-1996,1/31/2008,,,,,,,,
7285,7,Opeth,The Roundhouse Tapes,2/4/2008,,,,,,,,
7286,4.7,Fripp & Eno,Beyond Even (1992-2006),2/4/2008,,,,,,,,
7287,7.7,Thao with the Get Down Stay Down,We Brave Bee Stings and All,2/4/2008,,,,,,,,
7288,6.1,Morrissey,Greatest Hits,2/4/2008,,,,,,,,
7289,2.5,Louis XIV,Slick Dogs and Ponies,2/1/2008,,,,,,,,
7290,7.6,Liam Finn,I'll Be Lightning,2/5/2008,,,,,,,,
7291,7.6,Jackie-O Motherfucker,Valley of Fire,2/5/2008,,,,,,,,
7292,8.1,Konono N\xc2\xb01,Live at Couleur Cafe,2/5/2008,,,,,,,,
7293,7,Hot Chip,Made in the Dark,2/5/2008,,,,,,,,
7294,6.5,Dirty on Purpose,Like Bees EP,2/4/2008,,,,,,,,
7295,7,Barton Carroll,The Lost One,2/6/2008,,,,,,,,
7296,7.7,Burnt Friedman,First Night Forever,2/6/2008,,,,,,,,
7297,4.3,The Mars Volta,The Bedlam in Goliath,2/6/2008,,,,,,,,
7298,7,Various Artists,Kitsun\xc3\xa9 BoomBox / Kitsun\xc3\xa9 Maison 5,2/6/2008,,,,,,,,
7299,3,Hey Willpower,P.D.A.,2/5/2008,,,,,,,,
7300,7.7,Vangelis,Blade Runner Trilogy: 25th Anniversary,2/7/2008,,,,,,,,
7301,7.5,Rafter,Sex Death Cassette,2/7/2008,,,,,,,,
7302,6.5,Dead Meadow,Old Growth,2/7/2008,,,,,,,,
7303,5.2,They Might Be Giants,Here Come the 123s,2/7/2008,,,,,,,,
7304,4.8,The Cake Sale,The Cake Sale,2/6/2008,,,,,,,,
7305,8.3,Ross Johnson,Make It Stop! The Most of Ross Johnson,2/8/2008,,,,,,,,
7306,7.8,Samamidon,All Is Well,2/8/2008,,,,,,,,
7307,6.9,Xasthur,Defective Epitaph / A Gate Through Bloodstained Mirrors,2/8/2008,,,,,,,,
7308,7.4,Jason Collett,Here's to Being Here,2/8/2008,,,,,,,,
7309,6.9,Yakuza,Transmutations,2/7/2008,,,,,,,,
7310,6.5,Yea Big + Kid Static,Yea Big & Kid Static,2/11/2008,,,,,,,,
7311,7.9,Mahjongg,Kontpab,2/11/2008,,,,,,,,
7312,6.2,Will Oldham / Dawn McCarthy,Wai Notes / Wilding in the West,2/11/2008,,,,,,,,
7313,8.8,Bee Gees,Greatest,2/11/2008,,,,,,,,
7314,5.9,The Weakerthans,Reunion Tour,2/8/2008,,,,,,,,
7315,7.7,The Busy Signals,The Busy Signals,2/12/2008,,,,,,,,
7316,7.9,Killer Mike,Ghetto Extraordinary,2/12/2008,,,,,,,,
7317,8.1,The Mae Shi,HLLLYH,2/12/2008,,,,,,,,
7318,8.2,British Sea Power,Do You Like Rock Music?,2/12/2008,,,,,,,,
7319,5.5,Human Bell,Human Bell,2/11/2008,,,,,,,,
7320,7.1,Monade,Monstre Cosmic,2/13/2008,,,,,,,,
7321,7.5,Hi-Fidel and DJ Crucial,The Company of Wolves,2/13/2008,,,,,,,,
7322,6.3,Lightspeed Champion,Falling Off the Lavender Bridge,2/13/2008,,,,,,,,
7323,7.6,Re-Up Gang,"We Got It for Cheap, Vol. 3",2/13/2008,,,,,,,,
7324,6.5,Flowers Forever,Flowers Forever,2/12/2008,,,,,,,,
7325,7,Various Artists,Wayfaring Strangers: Guitar Soli,2/14/2008,,,,,,,,
7326,7.9,Fairmont,Coloured in Memory,2/14/2008,,,,,,,,
7327,8.3,High Places,03/07 \xe2\x80\x93 09/07,2/14/2008,,,,,,,,
7328,6.3,M.A.N.D.Y.,12 Great Remixes For 11 Great Artists 2001 - 2007 / Fabric 38,2/14/2008,,,,,,,,
7329,6.8,Colleen,Les Ondes Silencieuses,2/13/2008,,,,,,,,
7330,7.6,Saviours,Into Abaddon,2/15/2008,,,,,,,,
7331,7.8,Balmorhea,Rivers Arms,2/15/2008,,,,,,,,
7332,8.3,Disfear,Live the Storm,2/15/2008,,,,,,,,
7333,7.2,Michael Jackson,Thriller: 25th Anniversary Edition,2/15/2008,,,,,,,,
7334,6.2,Biirdie,Catherine Avenue,2/14/2008,,,,,,,,
7335,6.3,Bob Mould,District Line,2/18/2008,,,,,,,,
7336,7.7,Sons and Daughters,This Gift,2/18/2008,,,,,,,,
7337,9.3,Nick Lowe,Jesus of Cool,2/18/2008,,,,,,,,
7338,8,The Mountain Goats,Heretic Pride,2/18/2008,,,,,,,,
7339,6.6,Rings,Black Habit,2/15/2008,,,,,,,,
7340,6.9,60 Watt Kid,60 Watt Kid,2/19/2008,,,,,,,,
7341,7.5,Afrirampo,Suuto Breakor,2/19/2008,,,,,,,,
7342,7.5,Johnny Cash,"The Best of the Johnny Cash TV Show, 1969-1971",2/19/2008,,,,,,,,
7343,8.6,Atlas Sound,Let the Blind Lead Those Who Can See But Cannot Feel,2/19/2008,,,,,,,,
7344,6.7,Kelley Stoltz,Circular Sounds,2/18/2008,,,,,,,,
7345,2.5,Steve Aoki,Pillowface and His Airplane Chronicles,2/20/2008,,,,,,,,
7346,7,The Whigs,Mission Control,2/20/2008,,,,,,,,
7347,7.7,American Music Club,The Golden Age,2/20/2008,,,,,,,,
7348,7.4,The Raveonettes,Lust Lust Lust,2/20/2008,,,,,,,,
7349,5.1,Hayden,In Field & Town,2/19/2008,,,,,,,,
7350,6.4,Statehood,Lies and Rhetoric,2/21/2008,,,,,,,,
7351,7.2,Various Artists,Soundboy Punishments,2/21/2008,,,,,,,,
7352,8,The Dillinger Escape Plan,Ire Works,2/21/2008,,,,,,,,
7353,8.4,Los Campesinos!,"Hold on Now, Youngster...",2/21/2008,,,,,,,,
7354,6,Various Artists,Songs From The Bigtop,2/20/2008,,,,,,,,
7355,7.3,The Depreciation Guild,In Her Gentle Jaws,2/22/2008,,,,,,,,
7356,7.9,Various Artists,I Hate CDs! Norton 45s,2/22/2008,,,,,,,,
7357,8.4,Belong,Colorloss Record EP,2/22/2008,,,,,,,,
7358,8.3,El Guincho,Alegranza!,2/22/2008,,,,,,,,
7359,7.4,Baby Dee,Safe Inside the Day,2/21/2008,,,,,,,,
7360,5.4,Matt Costa,Unfamiliar Faces,2/25/2008,,,,,,,,
7361,6.7,Steve Reid Ensemble,Daxaar,2/25/2008,,,,,,,,
7362,7.9,Various Artists,Living Bridge,2/25/2008,,,,,,,,
7363,4.6,Goldfrapp,Seventh Tree,2/25/2008,,,,,,,,
7364,3.8,Cowboy Junkies,Trinity Revisited,2/22/2008,,,,,,,,
7365,6.9,The Acorn,Glory Hope Mountain,2/26/2008,,,,,,,,
7366,7.1,David Thomas Broughton / 7 Hertz,David Thomas Broughton vs. 7 Hertz,2/26/2008,,,,,,,,
7367,6,Justus K\xc3\xb6hncke,Safe & Sound,2/26/2008,,,,,,,,
7368,8.5,Beach House,Devotion,2/26/2008,,,,,,,,
7369,4.8,Mike Bones,The Sky Behind the Sea,2/25/2008,,,,,,,,
7370,7.5,The Pine Hill Haints,Ghost Dance,2/27/2008,,,,,,,,
7371,8.2,Kutiman,Kutiman,2/27/2008,,,,,,,,
7372,8,Born Ruffians,Red Yellow Blue,2/27/2008,,,,,,,,
7373,6.7,El Perro Del Mar,From the Valley to the Stars,2/27/2008,,,,,,,,
7374,5.7,Carbon/Silicon,The Last Post,2/26/2008,,,,,,,,
7375,4.5,Guilty Simpson,Ode to the Ghetto,2/28/2008,,,,,,,,
7376,5.8,His Name Is Alive,XMMER,2/28/2008,,,,,,,,
7377,7.7,Valet,Naked Acid,2/28/2008,,,,,,,,
7378,9.4,Various Artists,"The Complete Motown Singles, Vol. 9: 1969",2/28/2008,,,,,,,,
7379,4.8,Sia,Some People Have Real Problems,2/27/2008,,,,,,,,
7380,7.1,The Dirtbombs,We Have You Surrounded,2/29/2008,,,,,,,,
7381,8,The Jet Age,"What Did You Do During the War, Daddy?",2/29/2008,,,,,,,,
7382,7.7,Earth,The Bees Made Honey in the Lion's Skull,2/29/2008,,,,,,,,
7383,8.7,Fleet Foxes,Sun Giant EP,2/29/2008,,,,,,,,
7384,2.3,Jeffrey Lewis & the Jitters,12 Crass Songs,2/28/2008,,,,,,,,
7385,7,Son Lux,At War With Walls & Mazes,3/3/2008,,,,,,,,
7386,8.1,Food for Animals,Belly,3/3/2008,,,,,,,,
7387,8.4,Kelley Polar,I Need You to Hold on While the Sky Is Falling,3/3/2008,,,,,,,,
7388,6.8,Stephen Malkmus and the Jicks,Real Emotional Trash,3/3/2008,,,,,,,,
7389,5.9,Kiln,Dusker,2/29/2008,,,,,,,,
7390,5.8,Blood Meridian,Liquidate Paris!,3/4/2008,,,,,,,,
7391,6.2,Joe Lally,Nothing Is Underrated,3/4/2008,,,,,,,,
7392,7,Cadence Weapon,Afterparty Babies,3/4/2008,,,,,,,,
7393,7.8,The Gutter Twins,Saturnalia,3/4/2008,,,,,,,,
7394,6.5,Dub Trio,Another Sound Is Dying,3/3/2008,,,,,,,,
7395,6.3,Major Stars,Mirror/Messenger,3/5/2008,,,,,,,,
7396,7.5,Warbringer,War Without End,3/5/2008,,,,,,,,
7397,1.5,Ghostland Observatory,Robotique Majestique,3/5/2008,,,,,,,,
7398,7.5,Autechre,Quaristice,3/5/2008,,,,,,,,
7399,4.9,Jack Pe\xc3\xb1ate,Matin\xc3\xa9e,3/4/2008,,,,,,,,
7400,5.8,What Made Milwaukee Famous,What Doesn't Kill Us,3/6/2008,,,,,,,,
7401,7.7,Promise and the Monster,Transparent Knives,3/6/2008,,,,,,,,
7402,6.8,Headlights,"Some Racing, Some Stopping",3/6/2008,,,,,,,,
7403,8.2,Clark,Turning Dragon,3/6/2008,,,,,,,,
7404,7.3,The Aluminum Group,Little Happyness,3/5/2008,,,,,,,,
7405,6.9,Throw Me the Statue,Moonbeams,3/7/2008,,,,,,,,
7406,7.6,Rocket from the Crypt,R.I.P.,3/7/2008,,,,,,,,
7407,7,Sambassadeur,Migration,3/7/2008,,,,,,,,
7408,8.3,The Ruby Suns,Sea Lion,3/7/2008,,,,,,,,
7409,5.8,Magic Weapon,Residue Hymns EP,3/6/2008,,,,,,,,
7410,7.9,Pacific UV,Longplay 2,3/10/2008,,,,,,,,
7411,7.2,Panther,14 kt God,3/10/2008,,,,,,,,
7412,6,Kelis,The Hits,3/10/2008,,,,,,,,
7413,7.4,She & Him,Volume One,3/10/2008,,,,,,,,
7414,7,Genghis Tron,Board Up the House,3/7/2008,,,,,,,,
7415,7.3,Various Artists,Basic Replay,3/11/2008,,,,,,,,
7416,8.3,Ocean,Precambrian,3/11/2008,,,,,,,,
7417,8.7,Rhys Chatham & His Guitar Trio All-Stars,Guitar Trio Is My Life!,3/11/2008,,,,,,,,
7418,8.2,WHY?,Alopecia,3/11/2008,,,,,,,,
7419,6.4,Ida,Lovers Prayers,3/10/2008,,,,,,,,
7420,7,Various Artists,Love Goes On: A Tribute to Grant McLennan,3/12/2008,,,,,,,,
7421,7.6,Ssion,Fool's Gold,3/12/2008,,,,,,,,
7422,6.3,Whiskeytown,Strangers Almanac: Deluxe Edition,3/12/2008,,,,,,,,
7423,9.1,Hercules and Love Affair,Hercules and Love Affair,3/12/2008,,,,,,,,
7424,5.1,Eric Matthews,The Imagination Stage,3/11/2008,,,,,,,,
7425,7.8,Grand Archives,Grand Archives,3/13/2008,,,,,,,,
7426,7.9,A Weather,Cove,3/13/2008,,,,,,,,
7427,8,Plants and Animals,Parc Avenue,3/13/2008,,,,,,,,
7428,6.8,Del Tha Funkee Homosapien,The 11th Hour,3/13/2008,,,,,,,,
7429,6.1,No Kids,Come Into My House,3/12/2008,,,,,,,,
7430,7.4,Richard Youngs,Autumn Response,3/14/2008,,,,,,,,
7431,7.9,The LK,The LK vs. the Snow,3/14/2008,,,,,,,,
7432,6.6,Snoop Dogg,Ego Trippin',3/14/2008,,,,,,,,
7433,7.7,Neon Neon,Stainless Style,3/14/2008,,,,,,,,
7434,7.4,The Slits,Return of the Giant Slits,3/13/2008,,,,,,,,
7435,7.6,Ghost,Overture: Live in Nippon Yusen Soko 2006,3/17/2008,,,,,,,,
7436,6.9,Ministry,The Last Sucker,3/17/2008,,,,,,,,
7437,7.8,Crystal Castles,Crystal Castles,3/17/2008,,,,,,,,
7438,8.6,Fuck Buttons,Street Horrrsing,3/17/2008,,,,,,,,
7439,5.9,The Exit Strategy,City of Microphones,3/14/2008,,,,,,,,
7440,7.7,Black Spade,To Serve With Love,3/18/2008,,,,,,,,
7441,7.5,These New Puritans,Beat Pyramid,3/18/2008,,,,,,,,
7442,7,Elvis Costello,This Year's Model: Deluxe Edition,3/18/2008,,,,,,,,
7443,7.4,Chatham County Line,IV,3/18/2008,,,,,,,,
7444,5.3,The Big Sleep,Sleep Forever,3/17/2008,,,,,,,,
7445,7.2,Amir ElSaffar,Two Rivers,3/19/2008,,,,,,,,
7446,6.9,Marah,Angels of Destruction!,3/19/2008,,,,,,,,
7447,7.7,DeVotchKa,A Mad & Faithful Telling,3/19/2008,,,,,,,,
7448,7.8,Be Your Own Pet,Get Awkward,3/19/2008,,,,,,,,
7449,6.8,Various Artists,Pop Ambient 2008,3/18/2008,,,,,,,,
7450,6.7,Ocrilim,Annwn,3/20/2008,,,,,,,,
7451,7.8,Fight Amp,Hungry for Nothing,3/20/2008,,,,,,,,
7452,5.3,We Are Scientists,Brain Thrust Mastery,3/20/2008,,,,,,,,
7453,6.8,The Kills,Midnight Boom,3/20/2008,,,,,,,,
7454,5.3,Shelby Lynne,Just a Little Lovin',3/19/2008,,,,,,,,
7455,7.9,Einst\xc3\xbcrzende Neubauten,Alles Wieder Offen,3/21/2008,,,,,,,,
7456,7.8,Various Artists,Love and Circuits: A Cardboard Records Compilation (From Aa To Zs),3/21/2008,,,,,,,,
7457,8.5,The Dodos,Visiter,3/21/2008,,,,,,,,
7458,5.9,Elf Power,In a Cave,3/21/2008,,,,,,,,
7459,5.6,Electric Six,I Shall Exterminate Everything Around Me That Restricts Me From Being the Master,3/20/2008,,,,,,,,
7460,7.3,Danava,UnonoU,3/24/2008,,,,,,,,
7461,7.4,Adam Green,Sixes & Sevens,3/24/2008,,,,,,,,
7462,7.5,Retribution Gospel Choir,Retribution Gospel Choir,3/24/2008,,,,,,,,
7463,9.8,Mission of Burma,"Signals, Calls, and Marches / Vs. / The Horrible Truth About Burma",3/24/2008,,,,,,,,
7464,4,Dengue Fever,Venus on Earth,3/21/2008,,,,,,,,
7465,6,Howlin Rain,Magnificent Fiend,3/25/2008,,,,,,,,
7466,7.5,Wrath of the Weak,Alogon,3/25/2008,,,,,,,,
7467,2.3,"Does It Offend You, Yeah?",You Have No Idea What You Are Getting Yourself Into,3/25/2008,,,,,,,,
7468,7.7,Destroyer,Trouble in Dreams,3/25/2008,,,,,,,,
7469,5,Mike Doughty,Golden Delicious,3/24/2008,,,,,,,,
7470,6.3,Grand Ole Party,Humanimals,3/26/2008,,,,,,,,
7471,7.5,Bauhaus,Go Away White,3/26/2008,,,,,,,,
7472,5.2,Thee Silver Mt. Zion Memorial Orchestra & Tra-La-La Band,13 Blues for Thirteen Moons,3/26/2008,,,,,,,,
7473,7.2,Gnarls Barkley,The Odd Couple,3/26/2008,,,,,,,,
7474,5.8,White Hinterland,Phylactery Factory,3/25/2008,,,,,,,,
7475,7.7,Jarboe / Justin K. Broadrick,J2,3/27/2008,,,,,,,,
7476,8.6,Yellow Swans,At All Ends,3/27/2008,,,,,,,,
7477,9,Carl Craig,Sessions,3/27/2008,,,,,,,,
7478,6.6,The B-52's,Funplex,3/27/2008,,,,,,,,
7479,5,Tift Merritt,Another Country,3/26/2008,,,,,,,,
7480,7.4,Lazarus,Hawk Medicine,3/28/2008,,,,,,,,
7481,7.8,Excepter,Debt Dept,3/28/2008,,,,,,,,
7482,7.4,Junior Boys,Body Language 6,3/28/2008,,,,,,,,
7483,8.4,The Lemonheads,It's a Shame About Ray [Collector's Edition],3/28/2008,,,,,,,,
7484,6.5,Kate Maki,On High,3/27/2008,,,,,,,,
7485,7.8,Big Dipper,Supercluster: The Big Dipper Anthology,3/31/2008,,,,,,,,
7486,8.6,Melchior Productions,No Disco Future,3/31/2008,,,,,,,,
7487,7.9,Simon & Garfunkel,Live 1969,3/31/2008,,,,,,,,
7488,6.7,R.E.M.,Accelerate,3/31/2008,,,,,,,,
7489,2.4,Rick Ross,Trilla,3/28/2008,,,,,,,,
7490,7.3,"Earth, Roots and Water",Innocent Youths,4/1/2008,,,,,,,,
7491,7.8,Lyrics Born,Everywhere at Once,4/1/2008,,,,,,,,
7492,7.5,The Black Keys,Attack & Release,4/1/2008,,,,,,,,
7493,7.4,The Raconteurs,Consolers of the Lonely,4/1/2008,,,,,,,,
7494,7,Sera Cahoone,Only as the Day Is Long,3/31/2008,,,,,,,,
7495,7.3,Apes & Androids,Blood Moon,4/2/2008,,,,,,,,
7496,7.5,Ministry,Cover Up,4/2/2008,,,,,,,,
7497,7.7,Sian Alice Group,59.59,4/2/2008,,,,,,,,
7498,5,Nine Inch Nails,Ghosts I-IV,4/2/2008,,,,,,,,
7499,6.8,Solvent,Demonstration Tape (1997-2007),4/1/2008,,,,,,,,
7500,7.7,Various Artists,The Garden of Forking Paths,4/3/2008,,,,,,,,
7501,7.9,The 1900s,Cold & Kind,4/3/2008,,,,,,,,
7502,6.5,The Apples in Stereo,Electronic Projects for Musicians,4/3/2008,,,,,,,,
7503,5.2,Moby,Last Night,4/3/2008,,,,,,,,
7504,2.2,Bell X1,Flock,4/2/2008,,,,,,,,
7505,7,In Flames,A Sense of Purpose,4/4/2008,,,,,,,,
7506,8,Pete & the Pirates,Little Death,4/4/2008,,,,,,,,
7507,8.6,Willie Nelson,One Hell of a Ride,4/4/2008,,,,,,,,
7508,9.3,The Microphones,The Glow Pt. 2,4/4/2008,,,,,,,,
7509,5.8,Webbie,Savage Life 2,4/3/2008,,,,,,,,
7510,7.8,Collections of Colonies of Bees,Birds,4/7/2008,,,,,,,,
7511,8,Various Artists,"Nigeria Special: Modern Highlife, Afro-Sounds & Nigerian Blues",4/7/2008,,,,,,,,
7512,7.7,Clinic,Do It!,4/7/2008,,,,,,,,
7513,8.4,Nick Cave & the Bad Seeds,Dig!!! Lazarus Dig!!!,4/7/2008,,,,,,,,
7514,6.4,John Maus,Love Is Real,4/4/2008,,,,,,,,
7515,7.5,YMD,"Excuse Me, This Is the Yah Mos Def",4/8/2008,,,,,,,,
7516,7.9,James Brown,"The Singles, Volume Five: 1967-1969",4/8/2008,,,,,,,,
7517,8,Man Man,Rabbit Habits,4/8/2008,,,,,,,,
7518,6.5,Colin Meloy,Sings Live!,4/8/2008,,,,,,,,
7519,7.5,The Secret,Disintoxication,4/7/2008,,,,,,,,
7520,7.9,Kathleen Edwards,Asking for Flowers,4/9/2008,,,,,,,,
7521,7.5,The Breeders,Mountain Battles,4/9/2008,,,,,,,,
7522,7,Sun City Girls,Piasa...Devourer of Men / Juggernaut / Jack's Creek,4/9/2008,,,,,,,,
7523,5.4,Peter Mor\xc3\xa9n,The Last Tycoon,4/9/2008,,,,,,,,
7524,5.5,The Felice Brothers,The Felice Brothers,4/8/2008,,,,,,,,
7525,7.5,Strategy,Music for Lamping,4/10/2008,,,,,,,,
7526,5.9,Foals,Antidotes,4/10/2008,,,,,,,,
7527,5.9,Tapes 'n Tapes,Walk It Off,4/10/2008,,,,,,,,
7528,8.5,Various Artists,The Sound of Philadelphia: Gamble & Huff's Greatest Hits / Conquer the World: The Lost Soul of Philadelphia International Records,4/10/2008,,,,,,,,
7529,7.6,Arp,In Light,4/9/2008,,,,,,,,
7530,6.2,Someone Still Loves You Boris Yeltsin,Pershing,4/11/2008,,,,,,,,
7531,7.6,The Helio Sequence,Keep Your Eyes Ahead,4/11/2008,,,,,,,,
7532,5.8,The Long Blondes,"""Couples""",4/11/2008,,,,,,,,
7533,8.3,Sun Kil Moon / Mark Kozelek,April / Nights,4/11/2008,,,,,,,,
